"Var1","Primary Vegetation","Secondary Vegetation","Plantation forest","Cropland","Pasture","HumanDominated"
"AA1",58,31,82,3,4,89
"AA10",228,33,0,0,200,200
"AA12",72,68,0,0,0,0
"AA13",18,0,0,0,12,12
"AA4",85,34,66,29,122,217
"AA7",255,175,8,2,62,72
"AA8",180,80,6,6,231,243
"AT1",782,444,440,254,161,855
"AT10",139,76,144,9,27,180
"AT12",42,1,7,2,0,9
"AT13",27,27,0,2,61,63
"AT2",19,22,3,0,0,3
"AT7",634,159,201,472,197,870
"IM1",694,622,397,67,1,465
"IM10",22,0,0,0,0,0
"IM2",90,0,0,0,0,0
"IM3",43,0,0,0,0,0
"IM4",66,8,0,0,0,0
"IM5",1,0,0,0,0,0
"NA12",20,0,0,0,0,0
"NA13",8,3,0,5,0,5
"NA3",0,1,0,0,0,0
"NA4",417,242,21,149,27,197
"NA5",0,63,0,0,65,65
"NA6",602,52,12,14,7,33
"NA8",42,35,0,2,4,6
"NT1",760,740,339,133,302,774
"NT10",0,0,0,2,0,2
"NT12",0,4,0,4,0,4
"NT13",2,13,0,2,1,3
"NT14",7,15,0,8,0,8
"NT2",28,65,19,71,53,143
"NT3",37,180,37,5,63,105
"NT4",301,59,105,0,112,217
"NT7",84,12,63,14,17,94
"NT8",21,87,11,348,329,688
"NT9",0,0,0,0,12,12
"OC1",91,154,0,16,2,18
"OC2",0,38,0,0,6,6
"PA10",54,0,0,0,0,0
"PA11",13,0,0,0,11,11
"PA12",341,662,175,325,121,621
"PA13",21,7,21,22,0,43
"PA4",423,1159,184,1203,1017,2404
"PA5",127,98,4,5,45,54
"PA6",72,54,0,5,3,8
