"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"20","LandUse + RB:Taxa:LandUse",351,27361.6779588022,0,1,0.333333333351119,-13323.7397544418,0.333333333351119
"17","LandUse*RB*Taxa",351,27361.6779588024,1.41881173476577e-10,0.999999999929059,0.333333333327472,-13323.7397544419,0.666666666678591
"19","LandUse*RB + LandUse*Taxa + RB:Taxa:LandUse",351,27361.6779588024,1.78260961547494e-10,0.99999999991087,0.333333333321409,-13323.7397544419,1
"13","LandUse*Taxa*Biome",210,27673.5075663162,311.829607513988,1.93669433099616e-68,6.45564777033167e-69,-13624.5815113668,1
"16","LandUse*RB + LandUse*Taxa",166,27729.8499519473,368.171993145053,1.12841147233326e-80,3.76137157464489e-81,-13697.5688464364,1
"18","LandUse*RB + LandUse*Taxa + RB*Taxa",239,27748.4919264741,386.813967671853,1.01021580421933e-84,3.3673860142441e-85,-13632.4299192486,1
"15","LandUse + LandUse*Biome + LandUse*Realm + LandUse*Taxa",117,27802.7592083431,441.08124954093,1.66120651887543e-96,5.53735506321355e-97,-13783.7058449602,1
"9","LandUse*RB",141,27979.6779213546,617.999962552407,6.35350276904806e-135,2.11783425646236e-135,-13847.8607029942,1
"14","LandUse*Taxa + LandUse*Biome",88,28015.3124088879,653.634450085643,1.16166946255611e-142,3.87223154206031e-143,-13919.2745280307,1
"8","Land Use + Land Use:Biome + Land Use:Realm",92,28044.277008999,682.599050196808,5.96347734275155e-149,1.98782578102325e-149,-13929.7214641408,1
"6","LandUse * Biome",63,28318.8123720679,957.134413265707,1.44844810360936e-208,4.82816034562213e-209,-14096.2099339045,1
"11","LandUse*Taxa",33,28744.9582031712,1383.28024436894,4.21222413687846e-301,1.40407471236774e-301,-14339.4245693863,1
"7","LandUse * Realm",37,28755.9447909123,1394.2668321101,1.73302272222893e-303,5.776742407738e-304,-14340.90404681,1
"12","LandUse + Taxa + Biome",25,28892.6677119153,1530.98975311308,0,0,-14421.3022764989,1
"2","Land Use + Biome",20,28981.6149735057,1619.93701470353,0,0,-14470.7870865197,1
"5","Land Use + RB",39,28983.9738942499,1622.29593544771,0,0,-14452.911104838,1
"4","Land Use + Realm + Biome",26,28988.9392211026,1627.26126230037,0,0,-14468.4355030787,1
"10","LandUse + Taxa",13,29114.4386808118,1752.76072200956,0,0,-14544.2105033095,1
"1","Land Use",8,29196.1235948577,1834.44563605545,0,0,-14590.0583022832,1
"3","Land Use + Realm",14,29200.9887920284,1839.31083322622,0,0,-14586.4841988694,1
