"Dataset","Response","Fixef","LandUseVar","AIC","R2Marginal","R2Conditional","n","n_RB","deltaAIC"
"Biome7","SpeciesRichness","LandUse*Realm","LandUse",1690.17441947483,0.104922382754473,0.902919372993277,1906,3,0
"Biome7","SpeciesRichness","LandUse*Realm","LandUse2",1724.52985843703,0.103713637231752,0.902613203326597,1906,3,34.3554389622013
"Biome7","SpeciesRichness","LandUse*Realm","LandUse3",1702.28969882038,0.104194980385981,0.904610555399905,1906,3,12.1152793455547
"Biome7","SpeciesRichness","LandUse*Realm","LandUse4",1698.00949339378,0.105471507486514,0.905611626399444,1906,3,7.83507391894841
"Biome7","SpeciesRichness","LandUse*Realm","LandUse5",1702.10056093176,0.102773961011473,0.902529700775485,1906,3,11.9261414569348
"Biome7[!is.na(Biome7$Use_intensity), ]","LogRichness","LandUse","LandUse",1716.77732638463,0.0122041221269298,0.904978164828086,1906,3,0
"Biome7[!is.na(Biome7$Use_intensity), ]","LogRichness","LandUse:Realm","LandUse",1690.17441947483,0.104922382754473,0.902919372993277,1906,3,-26.602906909797
"Biome7[!is.na(Biome7$Use_intensity), ]","LogRichness","UseIntensity","LU_UI_3",1722.53020941088,0.0118358018785495,0.903305889394318,1906,3,5.75288302625722
"Biome7[!is.na(Biome7$Use_intensity), ]","LogRichness","UseIntensity:Realm","LU_UI_3",1688.33781328638,0.111906464138617,0.906884969533604,1906,3,-28.4395130982505
"Biome7[!is.na(Biome7$Use_intensity), ]","LogAbund","LandUse","LandUse",4146.40655118595,0.00973978174314276,0.885341772068874,1553,3,0
"Biome7[!is.na(Biome7$Use_intensity), ]","LogAbund","LandUse:Realm","LandUse",4138.7456722571,0.0236745428927606,0.884009857982147,1553,3,-7.66087892884752
"Biome7[!is.na(Biome7$Use_intensity), ]","LogAbund","UseIntensity","LU_UI_3",4138.74295921016,0.0115483705345109,0.885474057957577,1553,3,-7.66359197579641
"Biome7[!is.na(Biome7$Use_intensity), ]","LogAbund","UseIntensity:Realm","LU_UI_3",4105.90025659192,0.02807549506181,0.892358329871987,1553,3,-40.5062945940344
