"Dataset","Response","Fixef","LandUseVar","AIC","R2Marginal","R2Conditional","n","n_RB","deltaAIC"
"data","LogRichness","LandUse","LandUse",29803.9477448594,0.00797477072614733,0.861378795458056,21182,43,0
"data","LogRichness","LandUse:Biome","LandUse",28958.2948389237,0.0511036817123222,0.873464191267235,21182,43,-845.652905935658
"data","LogRichness","LandUse:Realm","LandUse",29365.4112734425,0.0281516321661567,0.865248506285845,21182,43,-438.536471416886
"data","LogRichness","LandUse:RegionalBiome","LandUse",28601.7027734997,0.0754147720938396,0.872296253562601,21182,43,-1202.2449713597
"data","LogAbund","LandUse","LandUse",47783.9724254713,0.00231966598657038,0.890161336752969,18235,43,0
"data","LogAbund","LandUse:Biome","LandUse",47275.9689866709,0.0332272221589786,0.896206919563456,18235,43,-508.00343880037
"data","LogAbund","LandUse:Realm","LandUse",47418.2477883466,0.0312960750802254,0.893567044499676,18235,43,-365.724637124622
"data","LogAbund","LandUse:RegionalBiome","LandUse",46949.5996877292,0.084354975893932,0.896565727549112,18235,43,-834.372737742102
"data_LUth.1","LogRichness","LandUse","LandUse",29125.2998428613,0.00790810178894305,0.859150410627418,20555,30,0
"data_LUth.1","LogRichness","LandUse:Biome","LandUse",28258.528758287,0.0553918591416288,0.872332915172788,20555,30,-866.77108457424
"data_LUth.1","LogRichness","LandUse:Realm","LandUse",28684.5614036444,0.026435735904796,0.86287014967907,20555,30,-440.73843921685
"data_LUth.1","LogRichness","LandUse:RegionalBiome","LandUse",27918.5918242016,0.0696547583779009,0.870943397685815,20555,30,-1206.70801865965
"data_LUth.1","LogAbund","LandUse","LandUse",46522.7248599126,0.00221171370641731,0.889937168308349,17737,30,0
"data_LUth.1","LogAbund","LandUse:Biome","LandUse",45987.7821975256,0.0358433301032284,0.896726402572892,17737,30,-534.942662387068
"data_LUth.1","LogAbund","LandUse:Realm","LandUse",46159.7400446101,0.0329856833389396,0.893145872900981,17737,30,-362.984815302523
"data_LUth.1","LogAbund","LandUse:RegionalBiome","LandUse",45680.8285343929,0.0833383381738688,0.89700298316002,17737,30,-841.89632551976
"data_LUth.5","LogRichness","LandUse","LandUse",28995.8266305353,0.0078986448778168,0.860110389600457,20477,27,0
"data_LUth.5","LogRichness","LandUse:Biome","LandUse",28121.0482566479,0.0565739077066089,0.872298948202311,20477,27,-874.77837388734
"data_LUth.5","LogRichness","LandUse:Realm","LandUse",28554.9870661348,0.0256218891888462,0.863816034265728,20477,27,-440.839564400532
"data_LUth.5","LogRichness","LandUse:RegionalBiome","LandUse",27773.891908402,0.0685363906546547,0.871938737754349,20477,27,-1221.93472213331
"data_LUth.5","LogAbund","LandUse","LandUse",46306.874247934,0.00233169722483868,0.889663773658578,17659,27,0
"data_LUth.5","LogAbund","LandUse:Biome","LandUse",45756.3976788783,0.0370515461603015,0.895176843957866,17659,27,-550.476569055711
"data_LUth.5","LogAbund","LandUse:Realm","LandUse",45944.442544909,0.0323067408284292,0.892924114717657,17659,27,-362.431703025002
"data_LUth.5","LogAbund","LandUse:RegionalBiome","LandUse",45474.3178095536,0.0806208814091035,0.897566423007412,17659,27,-832.556438380416
"data_LUth.25","LogRichness","LandUse","LandUse",27387.0493004987,0.00857467604489337,0.858071322610716,19048,20,0
"data_LUth.25","LogRichness","LandUse:Biome","LandUse",26558.9128397747,0.0565080590363174,0.869234670253928,19048,20,-828.136460724025
"data_LUth.25","LogRichness","LandUse:Realm","LandUse",26988.0317424664,0.0269811187735343,0.861843331483013,19048,20,-399.017558032232
"data_LUth.25","LogRichness","LandUse:RegionalBiome","LandUse",26336.9507873663,0.0625480182250034,0.86945716833924,19048,20,-1050.09851313243
"data_LUth.25","LogAbund","LandUse","LandUse",43643.1713296589,0.00293029569265139,0.889921604120624,16520,20,0
"data_LUth.25","LogAbund","LandUse:Biome","LandUse",43110.4148917153,0.0364681144130703,0.895353782962849,16520,20,-532.756437943593
"data_LUth.25","LogAbund","LandUse:Realm","LandUse",43305.1712458658,0.035267863728425,0.893358889521632,16520,20,-338.000083793166
"data_LUth.25","LogAbund","LandUse:RegionalBiome","LandUse",42900.8355368403,0.0699842699183973,0.896386891079558,16520,20,-742.335792818652
"data_LUth.50","LogRichness","LandUse","LandUse",25498.0025196479,0.0079307640224133,0.858564425005478,17686,16,0
"data_LUth.50","LogRichness","LandUse:Biome","LandUse",24774.2604292615,0.0538717502330454,0.870304681746251,17686,16,-723.742090386349
"data_LUth.50","LogRichness","LandUse:Realm","LandUse",25118.4325230929,0.0236354541663039,0.862616606192928,17686,16,-379.569996554987
"data_LUth.50","LogRichness","LandUse:RegionalBiome","LandUse",24555.1587251988,0.0589425546039645,0.870453346586,17686,16,-942.843794449105
"data_LUth.50","LogAbund","LandUse","LandUse",39968.8976264445,0.00273229335672619,0.893578489148085,15158,16,0
"data_LUth.50","LogAbund","LandUse:Biome","LandUse",39531.2573421632,0.0342011812366405,0.898817212947793,15158,16,-437.640284281268
"data_LUth.50","LogAbund","LandUse:Realm","LandUse",39648.0223201722,0.0308804693320911,0.897101991238419,15158,16,-320.875306272283
"data_LUth.50","LogAbund","LandUse:RegionalBiome","LandUse",39322.5756868019,0.0676487242485345,0.899968350276601,15158,16,-646.32193964257
